order_id,supplier_id,supplier_name,product_id,product_name,category,order_date,expected_delivery,actual_delivery,quantity,unit_price,total_amount,warehouse_id,warehouse_location,status,quality_check,inspector,last_updated
ORD-00000014,,Brooks and Sons,PRD-000166,Business-focused 24hour secured line,Chemicals,2023-08-26,2023-09-09,2023-09-11,36,64.725,2330.1,WH-004,"Los Angeles, CA",Delivered,Pending,Mr. Eric Morris,2025-07-13
ORD-00000015,SUP-00011,"Hatfield, Lyons and Richards",PRD-000142,Ergonomic executive customer loyalty,PACKAGING,2024-02-05,2024-01-27,2024-03-13,2602,5817.468,15137051.74,WH-002,"New York, NY",Cancelled,Pending,,2024-04-14
ORD-00000016,SUP-00071,"Robbins, Chapman and Morris",PRD-000176,Persistent clear-thinking adapter,Food & Beverage,2023-04-24,2023-06-05,2023-06-08,4672,422.5902,1974341.41,WH-010,"Atlanta, GA",Returned,Pass,Grace Schultz,2025-03-05
ORD-00000017,SUP-00009,Burton Ltd,PRD-000044,Pre-emptive discrete methodology,Textiles,2024-09-16,2024-11-13,,103,5545.7272,571209.9,WH-008,"Dallas, TX",In Transit,Pending,,2024-09-27
ORD-00000018,SUP-00055,"Myers, Coleman and White",PRD-000052,Proactive dedicated focus group,Chemicals,2024-02-08,2024-03-25,2024-03-30,3387,4713.9009,15965982.35,WH-010,"New York, NY",Delivered,Fail,Johnny Miller,2024-09-01
ORD-00000019,SUP-00033,Henderson-Mcguire,PRD-000047,Customer-focused incremental collaboration,Machinery,2024-11-26,2024-12-03,2024-12-08,4539,8287.3105,37616102.36,WH-008,"Seattle, WA",In Transit,Pending,,2024-12-23
ORD-00000020,SUP-00041,Webster and Sons,PRD-000002,Programmable object-oriented focus group,Chemicals,2025-09-30,2025-11-15,2025-11-23,2631,7959.4022,20941187.19,WH-001,"Chicago, IL",Cancelled,Pending,,2025-11-09
ORD-00000021,SUP-00054,Kane PLC,PRD-000199,Self-enabling user-facing collaboration,Food & Beverage,2023-12-06,2023-12-20,2024-01-03,4515,5033.5064,22726281.4,WH-005,"Atlanta, GA",Delivered,Pending,Robert Hebert,2025-11-03
ORD-00000022,SUP-00010,Robertson and Sons,PRD-000104,Inverse context-sensitive hardware,Raw Materials,2024-03-06,2024-04-30,2024-05-04,-4846,630.2819,3054346.09,WH-002,"New York, NY",Delivered,Pending,Michael Bell,2025-12-11
ORD-00000023,SUP-00049,Arellano-Anderson,PRD-000005,Fundamental methodical ability,Food & Beverage,2024-10-19,2024-11-15,2024-11-24,1805,6429.7858,11605763.37,WH-010,"Seattle, WA",Delivered,Pending,,2024-05-17
ORD-00000024,SUP-00044,Pitts LLC,PRD-000004,Open-source logistical challenge,Raw Materials,2023-12-14,2024-01-01,,1696,5039.6982,8547328.15,WH-005,"Seattle, WA",In Transit,Pending,,2024-05-01
ORD-00000025,SUP-00075,Barron Ltd,PRD-000190,Virtual fresh-thinking function,Packaging,2024-07-31,2024-09-26,2024-07-27,4907,8316.0444,40806829.87,WH-012,"Los Angeles, CA",Delivered,Pass,Stephanie Khan,2024-05-09
ORD-00000026,SUP-00021,"Walker, Mathis and Acosta",PRD-000021,Synergized zero tolerance approach,Chemicals,2025-02-23,2025-04-04,2025-04-05,0,2108.5964,2760152.69,WH-005,"Atlanta, GA",Ordered,Pending,,2024-06-10
ORD-00000027,SUP-00060,"Smith, Hill and Steele",PRD-000074,Reactive neutral collaboration,Electronics,2024-10-22,2024-12-20,2024-12-26,1538,2670.9848,4107974.62,WH-001,"Seattle, WA",Ordered,Pending,,2025-11-11
ORD-00000028,SUP-00060,"Smith, Hill and Steele",PRD-000167,Streamlined 24/7 success,Chemicals,2025-06-30,2025-07-23,2025-07-19,1205,7352.2871,8859505.96,WH-004,"Seattle, WA",Delivered,,Stacey Hogan,2025-09-04
ORD-00000029,SUP-00048,Morgan-Ware,PRD-000149,Configurable zero administration website,Chemicals,2025-04-10,2025-05-14,2025-05-26,486,3021.8268,1468607.82,WH-008,"Los Angeles, CA",Cancelled,Pending,,2025-10-13
ORD-00000030,SUP-00054,Kane PLC,PRD-000076,Customer-focused cohesive middleware,Packaging,2025-08-30,2025-10-12,2025-10-11,2923,1089.0715,3183355.99,WH-010,"Atlanta, GA",Delivered,Pending,Gregory Benson,2024-10-12
ORD-00000031,,Chapman-Fuller,PRD-000066,Pre-emptive context-sensitive portal,Chemicals,2025-11-22,2025-12-08,2025-12-03,606,7000.8065,4242488.74,WH-012,"Dallas, TX",Returned,Pass,Sean Andrews,2025-09-24
ORD-00000032,SUP-00078,Wallace-Williams,PRD-000129,Compatible methodical leverage,Electronics,2025-01-01,2025-02-28,2025-03-11,3736,5629.5209,21031890.08,WH-007,"New York, NY",Returned,Fail,Cassie Foster,2025-10-13
ORD-00000033,SUP-00046,Dunn LLC,PRD-000082,Ergonomic methodical alliance,Machinery,2025-04-14,2025-04-28,2025-05-10,2954,9781.6705,28895054.66,WH-005,"New York, NY",Ordered,Pending,,2025-07-11
ORD-00000034,SUP-00071,"Robbins, Chapman and Morris",PRD-000110,Cross-platform encompassing complexity,Textiles,2026-01-07,2026-03-05,2026-03-06,202,2532.5734,511579.83,WH-001,"Chicago, IL",Ordered,Pending,,2025-11-13
ORD-00000035,SUP-00048,Morgan-Ware,PRD-000055,Streamlined dedicated moderator,Machinery,2025-06-19,2025-07-18,2025-08-02,3575,4700.1569,16803060.92,WH-010,"Dallas, TX",Cancelled,,,2024-05-03
ORD-00000036,SUP-00053,"Osborn, Ryan and Garrett",PRD-000130,Monitored empowering migration,Packaging,2025-02-23,2025-04-18,2025-04-25,588,9992.2996,5875472.16,WH-009,"Atlanta, GA",In Transit,Pending,,2025-11-21
ORD-00000037,SUP-00035,Mann Ltd,PRD-000070,Intuitive dedicated functionalities,Electronics,2023-10-25,2023-11-06,2023-11-12,1891,6497.5425,12286852.87,WH-003,"Atlanta, GA",Cancelled,,,2024-10-27
ORD-00000038,SUP-00056,Garcia Group,PRD-000155,Up-sized 24/7 migration,Food & Beverage,2023-09-17,2023-09-23,2023-10-04,4079,4799.973,19579089.87,WH-008,"Dallas, TX",Cancelled,,,2025-09-01
ORD-00000039,SUP-00048,Morgan-Ware,PRD-000152,Focused background Internet solution,Raw Materials,2025-11-29,2026-01-27,2026-02-16,2385,4111.4782,9805875.51,WH-003,"Atlanta, GA",In Transit,Pending,,2024-11-21
ORD-00000040,SUP-00048,Morgan-Ware,PRD-000059,Fundamental asynchronous application,Chemicals,2025-04-03,2025-04-30,2025-05-20,3489,1561.7473,5448936.33,WH-007,"Los Angeles, CA",Ordered,Pending,,2026-03-04
ORD-00000041,SUP-00020,"Reyes, Parker and Gibson",PRD-000126,Organized 24hour attitude,Food & Beverage,2025-07-03,2025-07-22,2025-08-05,3115,3234.9139,10076756.8,WH-010,"Atlanta, GA",In Transit,Pending,,2025-12-07
ORD-00000042,SUP-00006,Petersen-Kelly,PRD-000196,Assimilated non-volatile artificial intelligence,Chemicals,2024-06-30,2024-07-08,2024-07-18,3284,5818.553,19108128.05,WH-014,"New York, NY",Cancelled,Pending,,2026-04-04
ORD-00000043,SUP-00064,Mitchell Ltd,PRD-000182,Fully-configurable solution-oriented open system,Textiles,2023-10-28,2023-12-26,2024-01-03,1634,8903.9287,8492141.16,WH-006,"Atlanta, GA",Cancelled,Pending,,2024-12-13
ORD-00000044,SUP-00018,"Thomas, Dennis and Rodriguez",PRD-000088,User-centric client-server strategy,Chemicals,2025-03-20,2025-05-15,2025-05-29,3759,4681.8261,17598984.31,WH-014,"Atlanta, GA",Cancelled,Pending,,2025-08-19
ORD-00000045,SUP-00007,Anderson-Jackson,PRD-000199,Self-enabling user-facing collaboration,Packaging,2024-06-23,2024-06-30,2024-07-19,158,1701.9964,282664.99,WH-013,"Chicago, IL",In Transit,Pending,,2026-03-03
ORD-00000046,SUP-00031,Lee Ltd,PRD-000120,Enhanced client-server throughput,Raw Materials,2025-11-11,2025-11-24,2025-12-13,2719,9871.5051,26840622.37,WH-006,"Atlanta, GA",In Transit,Pending,,2025-10-22
ORD-00000047,SUP-00044,Pitts LLC,PRD-000121,Adaptive systematic success,Machinery,2025-02-23,2025-04-08,2025-04-14,1069,2463.4201,2633396.09,WH-014,"Seattle, WA",Ordered,Pending,,2025-10-12
ORD-00000048,SUP-00011,"Hatfield, Lyons and Richards",PRD-000031,Stand-alone systemic productivity,Food & Beverage,2024-11-10,2024-12-23,2024-12-19,3281,2862.3126,9391247.64,WH-013,"New York, NY",Cancelled,Pending,,2025-06-05
ORD-00000049,SUP-00059,Campbell and Sons,PRD-000190,Virtual fresh-thinking function,Machinery,2025-10-04,2025-11-14,2025-11-23,3816,2867.2051,10941254.66,WH-011,"Chicago, IL",Returned,Fail,Allison Jackson,2025-09-04
ORD-00000050,SUP-00005,Williams LLC,PRD-000055,Streamlined dedicated moderator,Food & Beverage,2024-07-27,2024-08-07,2024-08-07,3953,8662.9881,34244791.96,WH-013,"Seattle, WA",Cancelled,Pending,,2025-05-22
ORD-00000051,SUP-00023,"Boyle, Miller and Ellis",PRD-000028,Future-proofed secondary collaboration,Textiles,2025-08-22,2025-10-04,2025-10-21,3518,7200.0157,25329655.23,WH-012,"New York, NY",Cancelled,Pending,,2025-09-16
ORD-00000052,SUP-00011,"Hatfield, Lyons and Richards",PRD-000008,Optional zero-defect firmware,Food & Beverage,2024-10-29,2024-12-06,2024-12-19,2269,4480.7131,10166738.02,WH-012,"Seattle, WA",In Transit,Pending,,2025-06-24
ORD-00000053,SUP-00008,"Barber, Davis and Barnett",PRD-000033,Streamlined methodical hierarchy,Electronics,2026-02-10,2026-03-22,2026-03-21,3799,9607.1638,36497615.28,WH-012,"New York, NY",Returned,Pending,Justin Miller,2025-01-31
ORD-00000054,SUP-00075,Barron Ltd,PRD-000091,Ameliorated impactful instruction set,electronics,2023-12-12,2024-01-29,2024-02-17,0,4333.6062,18253149.31,WH-011,"Dallas, TX",Returned,,Kristin Warren,2025-06-14
ORD-00000055,SUP-00004,Humphrey Group,PRD-000080,Implemented solution-oriented adapter,Packaging,2023-09-19,2023-10-16,,4804,8491.4209,40792786.0,WH-010,"Seattle, WA",Cancelled,Pending,,2025-03-21
ORD-00000056,SUP-00077,Taylor-Evans,PRD-000027,Secured client-driven protocol,Chemicals,2026-01-31,2026-03-24,2026-04-02,762,3883.5693,2959279.81,WH-001,"Chicago, IL",In Transit,Pending,,2024-12-30
ORD-00000057,SUP-00065,Ellis Group,PRD-000174,Seamless multimedia customer loyalty,Packaging,2023-07-24,2023-07-15,2023-09-19,190,7056.755,2258237.02,WH-006,"Los Angeles, CA",In Transit,Pending,,2024-07-25
ORD-00000058,SUP-00022,"Reilly, Price and Galloway",PRD-000127,Ameliorated contextually-based model,Electronics,2025-07-23,2025-08-29,2025-07-08,984,1433.8863,1401024.66,WH-006,"Seattle, WA",Ordered,,,2025-09-21
ORD-00000059,SUP-00028,Padilla PLC,PRD-000172,Persevering fault-tolerant throughput,Chemicals,2024-09-12,2024-10-19,2024-10-20,2528,7585.033,19174963.42,WH-011,"New York, NY",Returned,Pending,Mr. John Le DDS,2025-04-08
ORD-00000060,SUP-00078,Wallace-Williams,PRD-000189,Balanced demand-driven database,Textiles,2025-05-11,2025-05-09,2025-05-05,3169,4759.0522,15081436.42,WH-012,"Seattle, WA",Cancelled,,,2026-03-15
ORD-00000061,SUP-00067,Brooks and Sons,PRD-000006,Intuitive bifurcated open system,Textiles,2025-12-05,2026-01-11,2026-01-15,3815,4072.5965,14574614.3,WH-012,"Atlanta, GA",Delivered,Pending,Ashlee Hart,2026-04-09
ORD-00000062,SUP-00052,Vargas-Hunter,PRD-000116,Open-architected logistical matrices,Packaging,2023-08-21,2023-08-20,2023-09-07,1615,3060.2201,4942255.46,WH-011,"Chicago, IL",Cancelled,Pending,,2025-06-24
ORD-00000063,SUP-00060,"Smith, Hill and Steele",PRD-000131,User-friendly logistical groupware,Packaging,2025-10-07,2025-11-17,,4026,4766.7522,19190944.36,WH-011,"Seattle, WA",Ordered,Pending,,2026-02-09
ORD-00000064,SUP-00021,"Walker, Mathis and Acosta",PRD-000016,Automated didactic concept,Food & Beverage,2024-01-31,2024-02-18,2024-02-26,2117,1096.0949,2320432.9,WH-010,"Seattle, WA",Ordered,Pending,,2025-10-12
ORD-00000065,SUP-00038,Thomas-Wagner,PRD-000116,Open-architected logistical matrices,Food & Beverage,2025-06-24,2025-07-16,2025-07-25,-4617,5717.5109,26397747.83,WH-007,"Atlanta, GA",Returned,,Monica Carpenter,2025-07-19
ORD-00000066,SUP-00069,Thompson-Owens,PRD-000125,Intuitive intangible artificial intelligence,Food & Beverage,2024-08-15,2024-09-23,2024-09-25,4561,1612.2997,7353698.93,WH-009,"New York, NY",Cancelled,Pending,,2024-08-23
ORD-00000067,SUP-00012,"Hart, Hayes and Velez",PRD-000162,Front-line local website,Electronics,2024-07-10,2024-08-10,2024-08-29,2872,666.0013,1912755.73,WH-003,"New York, NY",In Transit,Pending,,2024-12-02
ORD-00000068,SUP-00061,Greene-Osborne,PRD-000055,Streamlined dedicated moderator,Electronics,2023-11-14,2023-11-24,2023-11-23,4390,862.6348,3786966.77,WH-005,"Dallas, TX",Returned,Fail,Gregory Johnson,2025-03-05
ORD-00000069,SUP-00013,Meza LLC,PRD-000190,Virtual fresh-thinking function,Machinery,2025-01-30,2025-02-12,2025-02-10,2671,6949.9479,18563310.84,WH-010,"Seattle, WA",Cancelled,Pending,,2025-12-03
ORD-00000070,SUP-00037,Shah Inc,PRD-000088,User-centric client-server strategy,Food & Beverage,2023-09-13,2023-09-23,2023-10-13,4472,3385.8879,15141690.69,WH-002,"Dallas, TX",Returned,Pass,Ryan Long,2025-01-14
ORD-00000071,SUP-00065,Ellis Group,PRD-000154,Ameliorated 6thgeneration access,Packaging,2024-01-10,2024-02-17,2024-03-06,4076,6212.7609,25323213.43,WH-002,"Seattle, WA",Ordered,Pending,,2025-05-14
ORD-00000072,SUP-00042,Peters Group,PRD-000156,Sharable disintermediate Graphical User Interface,Raw Materials,2023-11-23,2024-01-09,2024-01-08,-2160,9621.7469,20782973.3,WH-004,"Chicago, IL",In Transit,,,2025-08-02
ORD-00000073,SUP-00053,"Osborn, Ryan and Garrett",PRD-000121,Adaptive systematic success,Food & Beverage,2023-11-18,2023-11-16,2024-01-24,4005,1153.5528,4619978.96,WH-009,"Atlanta, GA",In Transit,Pending,,2024-09-29
ORD-00000074,,Mercado-Dorsey,PRD-000027,Secured client-driven protocol,Food & Beverage,2024-01-16,2024-02-03,2024-02-17,4848,4988.4441,24183977.0,WH-009,"New York, NY",Cancelled,,,2025-10-02
ORD-00000075,SUP-00066,Willis-Olson,PRD-000158,Focused maximized focus group,machinery,2025-08-14,2025-09-26,2025-09-26,2249,1964.9165,4419097.21,WH-005,"Seattle, WA",Cancelled,Pending,,2026-01-03
ORD-00000076,SUP-00028,Padilla PLC,PRD-000112,Innovative real-time neural-net,Packaging,2024-02-27,2024-04-19,2024-04-24,1038,2027.6351,2104685.23,WH-013,"New York, NY",Delivered,,Andrea Huynh,2026-02-07
ORD-00000077,SUP-00060,"Smith, Hill and Steele",PRD-000026,Monitored didactic productivity,Machinery,2023-05-04,2023-05-10,2023-05-27,4190,6816.3855,46813955.0,WH-004,"Los Angeles, CA",Cancelled,Pending,,2025-10-14
ORD-00000078,SUP-00054,Kane PLC,PRD-000020,Universal methodical workforce,Raw Materials,2024-05-03,2024-06-27,2024-07-13,75,5322.6931,399201.98,WH-008,"Chicago, IL",In Transit,Pending,,2024-05-01
ORD-00000079,SUP-00074,"Mcclain, Johnson and Gibson",PRD-000096,Progressive empowering capability,Chemicals,2024-06-29,2024-08-26,2024-08-27,367,9750.0851,3578281.23,WH-013,"Dallas, TX",Cancelled,Pending,,2025-07-06
ORD-00000080,SUP-00016,Acosta and Sons,PRD-000132,Synchronized bottom-line intranet,Packaging,2023-08-23,2023-09-26,2023-10-12,1607,2921.2474,4694444.57,WH-014,"Atlanta, GA",Cancelled,Pending,,2025-05-29
ORD-00000081,SUP-00034,Krueger-Jackson,PRD-000132,Synchronized bottom-line intranet,Raw Materials,2026-03-21,2026-04-09,2026-04-29,3863,2900.4043,11204261.81,WH-004,"Chicago, IL",In Transit,Pending,,2025-09-11
ORD-00000082,SUP-00017,Griffin and Sons,PRD-000049,Monitored systemic knowledge user,Chemicals,2024-06-28,2024-08-15,2024-08-23,4905,1678.8201,8234612.59,WH-014,"Atlanta, GA",Returned,Pass,,2024-07-27
ORD-00000083,SUP-00057,Cohen PLC,PRD-000013,Cross-platform maximized middleware,Electronics,2024-03-30,2024-04-08,2024-04-18,979,9238.0444,9044045.47,WH-004,"Atlanta, GA",Ordered,,,2025-01-16
ORD-00000084,SUP-00031,Lee Ltd,PRD-000166,Business-focused 24hour secured line,Food & Beverage,2024-02-14,2024-04-11,2024-04-08,663,1569.478,1040563.91,WH-008,"Seattle, WA",Cancelled,Pending,,2025-05-26
ORD-00000085,SUP-00033,Henderson-Mcguire,PRD-000066,Pre-emptive context-sensitive portal,Chemicals,2023-09-07,2023-08-29,2023-10-18,3508,6670.6951,23400798.41,WH-011,"Dallas, TX",Cancelled,Pending,,2025-10-30
ORD-00000086,SUP-00039,"Wiley, Brown and Sampson",PRD-000039,Profit-focused system-worthy paradigm,Food & Beverage,2023-04-20,2023-05-27,2023-06-06,3569,4023.4274,14359612.39,WH-009,"Seattle, WA",Cancelled,,,2026-03-04
ORD-00000087,SUP-00032,"Foster, Powell and Moore",PRD-000023,Total asymmetric hardware,Machinery,2025-12-15,2026-01-03,,3514,4211.2128,14798201.78,WH-011,"Dallas, TX",Ordered,,,2025-11-28
ORD-00000088,SUP-00063,Montoya Inc,PRD-000137,Cross-group multi-state firmware,Packaging,2023-09-20,2023-10-21,2023-10-24,1837,2007.7946,3688318.68,WH-012,"New York, NY",In Transit,Pending,,2025-06-13
ORD-00000089,SUP-00034,Krueger-Jackson,PRD-000171,User-friendly encompassing database,Textiles,2025-01-07,2025-02-03,2025-02-20,4453,1512.8977,6736933.46,WH-010,"Los Angeles, CA",In Transit,Pending,,2025-01-17
ORD-00000090,SUP-00034,Krueger-Jackson,PRD-000141,Focused 24hour instruction set,Food & Beverage,2025-11-04,2026-01-01,2025-12-30,-3398,3976.2333,13511240.75,WH-009,"New York, NY",Delivered,Pending,,2024-10-23
ORD-00000091,SUP-00013,Meza LLC,PRD-000007,Customer-focused context-sensitive attitude,Food & Beverage,2025-09-25,2025-11-01,2025-09-18,1334,7282.9229,9715419.15,WH-011,"Dallas, TX",Cancelled,Pending,,2026-04-03
ORD-00000092,SUP-00017,Griffin and Sons,PRD-000080,Implemented solution-oriented adapter,Machinery,2025-09-28,2025-11-13,2025-09-22,494,5874.0419,2901776.7,WH-002,"Los Angeles, CA",Cancelled,Pending,,2026-02-25
ORD-00000093,SUP-00045,Barnes-Rivers,PRD-000097,Versatile static software,Textiles,2024-02-07,2024-02-27,2024-03-18,2766,1477.9979,4088142.19,WH-011,"Atlanta, GA",Returned,Pending,Marcus White,2025-12-28
ORD-00000094,SUP-00047,Fuller-Reyes,PRD-000166,Business-focused 24hour secured line,Machinery,2024-11-30,2025-01-06,2025-01-03,1166,6572.9236,7664028.92,WH-014,"Dallas, TX",Ordered,Pending,,2026-02-18
ORD-00000095,SUP-00065,Ellis Group,PRD-000030,Inverse real-time database,Food & Beverage,2023-06-05,2023-06-26,,2049,6186.1785,12675479.75,WH-009,"New York, NY",Ordered,Pending,,2024-10-01
ORD-00000096,SUP-00031,Lee Ltd,PRD-000023,Total asymmetric hardware,Chemicals,2023-10-30,2023-11-18,2023-12-04,1263,6704.4164,8467677.91,WH-013,"Seattle, WA",Delivered,Pending,William Morales,2025-12-27
ORD-00000097,SUP-00001,"Taylor, Adams and Donaldson",PRD-000151,Reactive incremental instruction set,Chemicals,2025-12-16,2025-12-11,2026-02-03,2083,5024.4407,10465909.98,WH-006,"Atlanta, GA",In Transit,Pending,,2024-07-23
ORD-00000098,SUP-00038,Thomas-Wagner,PRD-000096,Progressive empowering capability,Machinery,2024-11-24,2025-01-08,2025-01-14,3853,22.0837,85088.5,WH-008,"Atlanta, GA",Cancelled,Pending,,2025-04-25
ORD-00000099,SUP-00046,Dunn LLC,PRD-000055,Streamlined dedicated moderator,Textiles,2023-07-18,2023-09-12,2023-06-22,3813,2619.5294,9988265.6,WH-013,"New York, NY",Delivered,Pass,Anthony Heath,2025-06-02
ORD-00000100,SUP-00056,Garcia Group,PRD-000069,Decentralized systemic interface,Electronics,2023-05-17,2023-05-29,2023-05-28,-4377,4035.1187,17661714.55,WH-009,"Chicago, IL",Ordered,Pending,,2025-12-14
ORD-00000101,,Bennett PLC,PRD-000021,Synergized zero tolerance approach,Electronics,2025-10-20,2025-12-06,2025-12-01,396,1850.8281,732927.93,WH-008,"Atlanta, GA",Ordered,Pending,,2024-06-02
ORD-00000102,SUP-00054,Kane PLC,PRD-000168,Upgradable object-oriented product,Electronics,2025-03-03,2025-03-23,2025-02-13,4976,12.2461,60936.59,WH-006,"Chicago, IL",In Transit,Pending,,2024-11-12
ORD-00000103,SUP-00002,Jimenez Inc,PRD-000154,Ameliorated 6thgeneration access,Machinery,2026-02-22,2026-04-18,2026-04-18,4330,7995.6578,34621198.27,WH-012,"Los Angeles, CA",Ordered,,,2025-08-12
ORD-00000104,SUP-00018,"Thomas, Dennis and Rodriguez",PRD-000144,Reduced motivating open architecture,Packaging,2025-09-23,2025-10-20,2025-11-07,215,9172.9724,1972189.07,WH-010,"Atlanta, GA",In Transit,Pending,,2025-05-24
ORD-00000105,SUP-00010,Robertson and Sons,PRD-000056,Exclusive bandwidth-monitored website,Machinery,2025-02-22,2025-03-20,2025-04-01,2044,2459.9333,5028103.67,WH-009,"Seattle, WA",Returned,Fail,Samuel Hudson,2025-04-29
ORD-00000106,SUP-00041,Webster and Sons,PRD-000173,Optional multimedia architecture,Chemicals,2024-11-15,2025-01-04,2025-01-19,3977,5616.5628,22337070.26,WH-010,"New York, NY",Cancelled,Pending,,2024-11-21
ORD-00000107,SUP-00026,Velasquez-Flores,PRD-000187,Face-to-face next generation process improvement,Textiles,2024-09-28,2024-10-06,2024-10-08,2901,5772.4849,16745978.69,WH-007,"Chicago, IL",Returned,Pass,,2024-06-03
ORD-00000108,SUP-00008,"Barber, Davis and Barnett",PRD-000002,Programmable object-oriented focus group,Textiles,2025-06-05,2025-06-11,2025-06-18,4228,2024.6927,8560400.74,WH-005,"Chicago, IL",In Transit,Pending,,2025-04-08
ORD-00000109,SUP-00044,Pitts LLC,PRD-000015,Distributed 6thgeneration info-mediaries,Chemicals,2023-05-12,2023-06-15,2023-06-15,1741,7405.5688,12893095.28,WH-001,"Seattle, WA",Delivered,,Kaylee Johnson,2024-11-26
ORD-00000110,SUP-00075,Barron Ltd,PRD-000027,Secured client-driven protocol,Chemicals,2023-07-24,2023-08-24,2023-09-06,1124,5988.756,6731361.74,WH-014,"Seattle, WA",Ordered,Pending,,2025-02-08
ORD-00000111,SUP-00045,Barnes-Rivers,PRD-000026,Monitored didactic productivity,Raw Materials,2025-05-07,2025-06-03,2025-05-30,772,6557.0468,5062040.13,WH-001,"Seattle, WA",Cancelled,Pending,,2026-03-24
ORD-00000112,SUP-00015,"Nguyen, Cruz and Wilson",PRD-000038,Organic actuating strategy,RAW MATERIALS,2024-05-13,2024-06-25,2024-07-03,3829,9936.5504,38047051.48,WH-003,"Los Angeles, CA",Cancelled,Pending,,2025-09-04
ORD-00000113,SUP-00077,Taylor-Evans,PRD-000183,Business-focused content-based encryption,Machinery,2024-10-03,2024-11-24,2024-12-04,3383,4929.9101,20850020.92,WH-013,"Dallas, TX",Returned,Fail,John Romero,2024-06-02
ORD-00000114,SUP-00059,Campbell and Sons,PRD-000139,Synchronized responsive product,Textiles,2023-09-15,2023-11-08,2023-11-08,-972,7314.0951,7109300.44,WH-003,"Los Angeles, CA",In Transit,Pending,,2024-05-29
ORD-00000115,SUP-00070,"Morales, Allen and Pittman",PRD-000134,Cross-group neutral access,Food & Beverage,2026-01-23,2026-03-18,,4092,4046.6709,22932042.19,WH-012,"Dallas, TX",In Transit,Pending,,2024-08-10
ORD-00000116,SUP-00062,Chapman-Fuller,PRD-000001,Ameliorated interactive software,Electronics,2024-01-13,2024-02-14,2024-03-04,1843,6455.2971,11897112.56,WH-003,"Seattle, WA",Cancelled,Pending,,2025-09-26
